airline,n_tweets,avg_sentiment,pct_negative,pct_neutral,pct_positive,avg_retweets
US Airways,2913,-0.44225475,0.646755921730175,0.22897356676965328,0.12427051150017164,0.0854788877445932
American,2604,-0.36579517,0.5898617511520737,0.2565284178187404,0.15360983102918588,0.044162826420890935
United,3822,-0.3187362,0.554160125588697,0.27577184720041864,0.17006802721088435,0.11015175300889586
Southwest,2420,-0.048989095,0.39834710743801655,0.28884297520661156,0.3128099173553719,0.05991735537190083
Delta,2222,0.030810036,0.3343834383438344,0.32673267326732675,0.33888388838883887,0.11341134113411341
Virgin America,504,0.08905224,0.3353174603174603,0.28174603174603174,0.38293650793650796,0.051587301587301584
